year,originregion,destinationregion,fe_OrigCategorical,fe_DestCategorical,fe_YearCategorical
1995.0,CHI,WEU,-51.5963025043938,-0.8018329935571487,0.12509776108453963
1995.0,JPK,WEU,-50.715899219676274,-0.8018329935571487,0.12509776108453963
1995.0,SEA,WEU,-52.022744063378475,-0.8018329935571487,0.12509776108453963
1995.0,CAM,WEU,-52.90326465706343,-0.8018329935571487,0.12509776108453963
1995.0,LAM,WEU,-53.12377900290987,-0.8018329935571487,0.12509776108453963
1995.0,ANZ,WEU,-48.13835463494228,-0.8018329935571487,0.12509776108453963
1995.0,EEU,WEU,-52.72052880070537,-0.8018329935571487,0.12509776108453963
1995.0,CAN,WEU,-47.330973989564214,-0.8018329935571487,0.12509776108453963
1995.0,USA,WEU,-48.393300205074745,-0.8018329935571487,0.12509776108453963
1995.0,CHI,FSU,-51.5963025043938,-1.5830083543612723,0.12509776108453963
1995.0,JPK,FSU,-50.715899219676274,-1.5830083543612723,0.12509776108453963
1995.0,CAM,MDE,-52.90326465706343,0.3605526124192302,0.12509776108453963
1995.0,SIS,FSU,-50.77308550226084,-1.5830083543612723,0.12509776108453963
1995.0,SSA,SAS,-54.40568897482562,-2.701237788627651,0.12509776108453963
1995.0,SIS,SAS,-50.77308550226084,-2.701237788627651,0.12509776108453963
1995.0,MAF,SAS,-51.40758985587273,-2.701237788627651,0.12509776108453963
1995.0,MDE,SAS,-51.44006891830045,-2.701237788627651,0.12509776108453963
1995.0,WEU,SAS,-52.970146213151395,-2.701237788627651,0.12509776108453963
1995.0,FSU,SAS,-53.84309861088059,-2.701237788627651,0.12509776108453963
1995.0,CHI,SAS,-51.5963025043938,-2.701237788627651,0.12509776108453963
1995.0,JPK,SAS,-50.715899219676274,-2.701237788627651,0.12509776108453963
1995.0,SEA,SAS,-52.022744063378475,-2.701237788627651,0.12509776108453963
1995.0,CAM,SAS,-52.90326465706343,-2.701237788627651,0.12509776108453963
1995.0,LAM,SAS,-53.12377900290987,-2.701237788627651,0.12509776108453963
1995.0,ANZ,SAS,-48.13835463494228,-2.701237788627651,0.12509776108453963
1995.0,EEU,SAS,-52.72052880070537,-2.701237788627651,0.12509776108453963
1995.0,CAN,SAS,-47.330973989564214,-2.701237788627651,0.12509776108453963
1995.0,USA,SAS,-48.393300205074745,-2.701237788627651,0.12509776108453963
1995.0,SSA,CHI,-54.40568897482562,-2.186328850138068,0.12509776108453963
1995.0,SIS,CHI,-50.77308550226084,-2.186328850138068,0.12509776108453963
1995.0,MAF,CHI,-51.40758985587273,-2.186328850138068,0.12509776108453963
1995.0,FSU,CHI,-53.84309861088059,-2.186328850138068,0.12509776108453963
1995.0,MDE,CHI,-51.44006891830045,-2.186328850138068,0.12509776108453963
1995.0,WEU,CHI,-52.970146213151395,-2.186328850138068,0.12509776108453963
1995.0,SAS,CHI,-52.70492881540335,-2.186328850138068,0.12509776108453963
1995.0,JPK,CHI,-50.715899219676274,-2.186328850138068,0.12509776108453963
1995.0,SEA,CHI,-52.022744063378475,-2.186328850138068,0.12509776108453963
1995.0,CAM,CHI,-52.90326465706343,-2.186328850138068,0.12509776108453963
1995.0,LAM,CHI,-53.12377900290987,-2.186328850138068,0.12509776108453963
1995.0,ANZ,CHI,-48.13835463494228,-2.186328850138068,0.12509776108453963
1995.0,EEU,CHI,-52.72052880070537,-2.186328850138068,0.12509776108453963
1995.0,CAN,CHI,-47.330973989564214,-2.186328850138068,0.12509776108453963
1995.0,USA,CHI,-48.393300205074745,-2.186328850138068,0.12509776108453963
1995.0,SSA,JPK,-54.40568897482562,0.32882267982753177,0.12509776108453963
1995.0,SIS,JPK,-50.77308550226084,0.32882267982753177,0.12509776108453963
1995.0,MAF,JPK,-51.40758985587273,0.32882267982753177,0.12509776108453963
1995.0,FSU,JPK,-53.84309861088059,0.32882267982753177,0.12509776108453963
1995.0,MDE,JPK,-51.44006891830045,0.32882267982753177,0.12509776108453963
1995.0,WEU,JPK,-52.970146213151395,0.32882267982753177,0.12509776108453963
1995.0,SAS,JPK,-52.70492881540335,0.32882267982753177,0.12509776108453963
1995.0,CHI,JPK,-51.5963025043938,0.32882267982753177,0.12509776108453963
1995.0,SEA,JPK,-52.022744063378475,0.32882267982753177,0.12509776108453963
1995.0,CAM,JPK,-52.90326465706343,0.32882267982753177,0.12509776108453963
1995.0,LAM,JPK,-53.12377900290987,0.32882267982753177,0.12509776108453963
1995.0,ANZ,JPK,-48.13835463494228,0.32882267982753177,0.12509776108453963
1995.0,EEU,JPK,-52.72052880070537,0.32882267982753177,0.12509776108453963
1995.0,CAN,JPK,-47.330973989564214,0.32882267982753177,0.12509776108453963
1995.0,USA,JPK,-48.393300205074745,0.32882267982753177,0.12509776108453963
1995.0,SSA,SEA,-54.40568897482562,-1.229044514497435,0.12509776108453963
1995.0,SIS,SEA,-50.77308550226084,-1.229044514497435,0.12509776108453963
1995.0,MAF,SEA,-51.40758985587273,-1.229044514497435,0.12509776108453963
1995.0,MDE,SEA,-51.44006891830045,-1.229044514497435,0.12509776108453963
1995.0,FSU,SEA,-53.84309861088059,-1.229044514497435,0.12509776108453963
1995.0,SAS,SEA,-52.70492881540335,-1.229044514497435,0.12509776108453963
1995.0,CHI,SEA,-51.5963025043938,-1.229044514497435,0.12509776108453963
1995.0,JPK,SEA,-50.715899219676274,-1.229044514497435,0.12509776108453963
1995.0,LAM,SEA,-53.12377900290987,-1.229044514497435,0.12509776108453963
1995.0,ANZ,SEA,-48.13835463494228,-1.229044514497435,0.12509776108453963
1995.0,EEU,SEA,-52.72052880070537,-1.229044514497435,0.12509776108453963
1995.0,WEU,SEA,-52.970146213151395,-1.229044514497435,0.12509776108453963
1995.0,CAN,SEA,-47.330973989564214,-1.229044514497435,0.12509776108453963
1995.0,USA,SEA,-48.393300205074745,-1.229044514497435,0.12509776108453963
1995.0,CAM,SEA,-52.90326465706343,-1.229044514497435,0.12509776108453963
1995.0,SSA,CAM,-54.40568897482562,-1.0376891022290309,0.12509776108453963
1995.0,MAF,CAM,-51.40758985587273,-1.0376891022290309,0.12509776108453963
1995.0,MDE,CAM,-51.44006891830045,-1.0376891022290309,0.12509776108453963
1995.0,FSU,CAM,-53.84309861088059,-1.0376891022290309,0.12509776108453963
1995.0,SAS,CAM,-52.70492881540335,-1.0376891022290309,0.12509776108453963
1995.0,CHI,CAM,-51.5963025043938,-1.0376891022290309,0.12509776108453963
1995.0,JPK,CAM,-50.715899219676274,-1.0376891022290309,0.12509776108453963
1995.0,SEA,CAM,-52.022744063378475,-1.0376891022290309,0.12509776108453963
1995.0,SIS,CAM,-50.77308550226084,-1.0376891022290309,0.12509776108453963
1995.0,LAM,CAM,-53.12377900290987,-1.0376891022290309,0.12509776108453963
1995.0,ANZ,CAM,-48.13835463494228,-1.0376891022290309,0.12509776108453963
1995.0,EEU,CAM,-52.72052880070537,-1.0376891022290309,0.12509776108453963
