originregion,destinationregion,remshare_reg,ypc_orig_reg,ypc_dest_reg,ypc_ratio_reg,remcost_reg,log_remshare_reg,OrigCategorical,DestCategorical,residual_ratio,residual_dest,exp_residual
SSA,SSA,0.43981512081468344,1.9474481570859061,1.947448157085918,1.176836406102659e-14,0.10139425229176488,-0.8214008203367965,SSA,SSA,-0.8450804830988777,-0.8450804830982986,0.4295227874946025
SSA,SIS,0.4453353354611498,1.9474481570858995,2.1568473080410966,0.20939915095519723,0.049109087652403904,-0.8089277177677667,SSA,SIS,-0.01045651234711098,-0.010456512346867619,0.9895979669250462
SSA,LAM,0.17706362422314117,1.9474481570859,2.189153618600507,0.24170546151460706,0.049109087652403904,-1.7312461521103728,SSA,LAM,-0.8817528905029448,-0.8817528905027103,0.4140564795189349
SSA,FSU,0.7355501726282847,1.947448157085899,2.132593783672888,0.18514562658698883,0.049109087652403904,-0.3071365255931497,SSA,FSU,0.4530305633371277,0.4530305633373764,1.5730722641173998
SSA,ANZ,0.048226390797100664,1.9474481570859,2.3782544232106075,0.4308062661247078,0.0,-3.031848880852948,SSA,ANZ,-1.4221151666371235,-1.4221151666372034,0.2412032917975287
SSA,MDE,0.048756363864196406,1.9474481570859,2.264876495768401,0.31742833868250087,0.033171842173157697,-3.0209195492539616,SSA,MDE,-1.9020370725912068,-1.9020370725910825,0.14926424720711062
SSA,CAM,0.6633345200129925,1.9474481570859,2.151880109956806,0.20443195287090588,0.049109087652403904,-0.4104758609689985,SSA,CAM,0.3801505409021703,0.3801505409024119,1.4625047396459376
SSA,SEA,0.9253440883020434,1.9474481570859,2.124727150099386,0.1772789930134857,0.049109087652403904,-0.07758962328629396,SSA,SEA,0.6701535208097494,0.6701535208099999,1.9545373597623816
SSA,CAN,0.11436537260540597,1.9474481570858995,2.3716568817588706,0.4242087246729712,0.06400757086393558,-2.1683569328710823,SSA,CAN,-1.1706671439032923,-1.1706671439030312,0.3101599509066915
SSA,CHI,0.49183951474154863,1.9474481570858997,2.2765614683414923,0.3291133112555926,0.049109087652403904,-0.7096028052509097,SSA,CHI,0.27793556715454504,0.27793556715475287,1.320401117267026
SSA,JPK,0.6981807559568923,1.9474481570859,2.344845494809533,0.39739733772363317,0.049109087652403904,-0.3592772470558565,SSA,JPK,0.7361035677326206,0.7361035677328107,2.087784733520557
SSA,USA,0.1742754476792872,1.9474481570858995,2.397373644390495,0.4499254873045956,0.0416822172197675,-1.7471181988034075,SSA,USA,-0.49897139694392,-0.498971396943785,0.6071548599749338
SIS,SAS,0.039780077622595895,2.156847308041105,1.996809965090585,-0.16003734295052016,0.0727484195221342,-3.2243890542611835,SIS,SAS,-1.86296703481226,-1.8629670348120628,0.1552114287932843
SIS,EEU,0.0088253462111267,2.156847308041107,2.2223787569821605,0.0655314489410538,0.0727484195221342,-4.730127446209709,SIS,EEU,-3.0124597467500873,-3.0124597467499523,0.04917058270769205
SIS,MAF,0.5640116548959078,2.156847308041104,2.108363341144537,-0.048483966896567345,0.0727484195221342,-0.572680362988534,SIS,MAF,0.9649203200803522,0.9649203200805192,2.6245785219370372
SIS,WEU,0.12041746628415567,2.156847308041103,2.36801571551173,0.2111684074706274,0.0547619209812816,-2.1167906878235985,SIS,WEU,-5.5472070799478246e-5,-5.547207080303096e-5,0.9999445294677474
SIS,SSA,0.11654556672464476,2.1568473080411037,1.947448157085902,-0.20939915095520165,0.0727484195221342,-2.149472951764402,SIS,SSA,-0.8660091051270786,-0.8660091051268672,0.42062688165166656
SIS,SIS,0.3002406565978872,2.156847308041103,2.1568473080411037,6.661338147750937e-16,0.08349374999999998,-1.203170937247667,SIS,SIS,0.31000328885582196,0.3100032888560298,1.363429598248176
SIS,LAM,0.3154674520051465,2.1568473080411072,2.1891536186005007,0.03230631055939323,0.0727484195221342,-1.1536997655392112,SIS,LAM,0.5114947530474465,0.5114947530475868,1.6677822553306565
SIS,FSU,0.2740359378357589,2.1568473080411055,2.1325937836729096,-0.02425352436819598,0.0727484195221342,-1.294496021210264,SIS,FSU,0.2813723246992803,0.2813723246994402,1.3249468225380894
SIS,ANZ,0.04033020098796135,2.1568473080411046,2.378254423210608,0.2214071151695033,0.08940408250406826,-3.2106546865248164,SIS,ANZ,-1.4033602032582264,-1.4033602032580506,0.24576973862085777
SIS,MDE,0.2320071678245367,2.1568473080411072,2.264876495768402,0.10802918772729483,0.0727484195221342,-1.4609870119976756,SIS,MDE,0.3237982870459297,0.3237982870460523,1.3823684373734888
SIS,CAM,0.316634526769156,2.156847308041106,2.1518801099568057,-0.004967198084300314,0.0727484195221342,-1.1500070826197584,SIS,CAM,0.4563205762306366,0.45632057623079114,1.5782562151055597
SIS,SEA,0.23806897326838258,2.1568473080411072,2.1247271500993885,-0.032120157941718755,0.0727484195221342,-1.435194843646962,SIS,SEA,0.12824955742832178,0.12824955742848165,1.1368366733361501
SIS,CAN,0.05333616327613804,2.156847308041104,2.3716568817588706,0.21480957371776632,0.0813213557607672,-2.9311406923965393,SIS,CAN,-1.0582941379206066,-1.0582941379204698,0.3470473205330579
SIS,CHI,0.14242346887971202,2.156847308041104,2.276561468341492,0.11971416030038759,0.0727484195221342,-1.9489504840353238,SIS,CHI,-0.14571085465064826,-0.14571085465052924,0.8644076064930737
SIS,JPK,0.0,2.1568473080411046,2.344845494809532,0.18799818676842697,0.0727484195221342,-Inf,SIS,JPK,-Inf,-Inf,0.0
SIS,USA,0.08106080890779624,2.156847308041104,2.3973736443904943,0.24052633634938994,0.05476098836455395,-2.5125556787077064,SIS,USA,-0.34944608391927234,-0.3494460839192848,0.705078535910735
LAM,SAS,0.13471819751617428,2.1891536186005043,1.9968099650905864,-0.192343653509918,0.06180897405438803,-2.004570108059706,LAM,SAS,-0.3801980407063019,-0.3801980407061971,0.6837259902255413
LAM,EEU,0.07447310796334698,2.189153618600503,2.222378756982161,0.033225138381657866,0.06180897405438803,-2.597317185695809,LAM,EEU,-0.616699438331723,-0.6166994383316804,0.5397228897160181
LAM,MAF,0.1011969015110514,2.1891536186005043,2.1083633411445373,-0.08079027745596702,0.06180897405438803,-2.2906871400772255,LAM,MAF,-0.49013640910385536,-0.49013640910378253,0.6125428320664337
LAM,WEU,0.08131681892049855,2.189153618600503,2.3680157155117323,0.17886209691122926,0.04436641535964269,-2.509402409033131,LAM,WEU,-0.1348297815317392,-0.13482978153183156,0.8738646469306005
LAM,SSA,0.05335006516376655,2.1891536186005065,1.9474481570859006,-0.2417054615146059,0.06180897405438803,-2.9308800797961974,LAM,SSA,-1.3844661852543796,-1.3844661852542588,0.25045746199945934
