period,scen,fundregion,popmig,inmig,outmig,index
2020,SSP1,MAF,200079.95327783725,187.64479191989153,1237.2452256260535,14
2020,SSP1,SSA,1.1064078042415364e6,3958.0791272560978,5537.13155935742,15
2020,SSP1,SIS,44584.826161904915,110.22148486331359,724.4131861857394,16
2025,SSP1,USA,339888.55123308743,5414.212780397055,961.7163155918785,1
2025,SSP1,CAN,38399.46324728185,1047.2281523311551,257.08176270029077,2
2025,SSP1,WEU,423249.93160668586,7029.294589325515,3229.306827364961,3
2025,SSP1,JPK,174880.6387780642,579.0574107470958,337.42645572099076,4
2025,SSP1,ANZ,31140.577496620484,954.5479377508943,316.6996343090665,5
2025,SSP1,EEU,110994.84814716478,532.6880374160719,1297.3718245939042,6
2025,SSP1,FSU,296455.55260921223,3312.7855115960315,2958.32544217424,7
2025,SSP1,MDE,364753.78941977466,4702.047066449206,3065.6394084969124,8
2025,SSP1,CAM,193202.5160129843,283.17308487106334,2248.6878433632874,9
2025,SSP1,LAM,447877.9664765633,671.0134381193155,1445.3208876356946,10
2025,SSP1,SAS,1.9236848651730195e6,2485.295966414835,5764.681901599095,11
2025,SSP1,SEA,722306.8001614189,1615.5740998722279,2803.8012288007953,12
2025,SSP1,CHI,1.4336572432097946e6,583.6521401379302,1342.5828313518907,13
2025,SSP1,MAF,211659.38078716325,194.8529641921431,1299.4760801278162,14
2025,SSP1,SSA,1.1993176996333827e6,4109.364772814254,5988.176392395546,15
2025,SSP1,SIS,45404.107882011565,114.46927998531025,732.3975114526535,16
2030,SSP1,USA,348588.12538881594,5572.431872936319,985.6724802791719,1
2030,SSP1,CAN,39452.03021311499,1077.7964725099207,263.92024126208696,2
2030,SSP1,WEU,424588.6222682109,7235.577459330226,3240.3925280394524,3
2030,SSP1,JPK,171714.21833214167,596.3175275276212,332.01318103854436,4
2030,SSP1,ANZ,32342.907839085532,982.3761517269934,328.3980759426899,5
2030,SSP1,EEU,108137.47739025833,548.2810278459438,1254.676226591478,6
2030,SSP1,FSU,295308.50287822995,3410.871527911045,2945.268536910223,7
2030,SSP1,MDE,381654.1826662925,4839.22567282822,3213.203691965712,8
2030,SSP1,CAM,199040.62015942502,291.4324782010503,2306.3474796189216,9
2030,SSP1,LAM,458418.4538475364,690.6346482090951,1480.1016201047175,10
2030,SSP1,SAS,1.9910169554773408e6,2555.8481995591837,6009.3720182112165,11
2030,SSP1,SEA,741343.6786214985,1662.7644829603742,2879.6212465669146,12
2030,SSP1,CHI,1.426230125150599e6,601.4849113550955,1341.8959685664347,13
2030,SSP1,MAF,221249.0238858374,200.51524821309016,1347.7569395983455,14
2030,SSP1,SSA,1.2799231787085442e6,4228.298320198351,6367.7523785248195,15
2030,SSP1,SIS,45842.66578682631,117.81262965665371,734.0779052452135,16
2035,SSP1,USA,356146.7535262242,5700.042957486095,1005.5669799433362,1
2035,SSP1,CAN,40360.339679465906,1102.5219202959067,269.53008358454053,2
2035,SSP1,WEU,425430.9369717034,7402.447007711454,3245.4776803487352,3
2035,SSP1,JPK,167909.10186946404,610.3259345668292,325.0038729724041,4
2035,SSP1,ANZ,33431.09305092156,1004.8753537397096,338.7287697725753,5
2035,SSP1,EEU,104969.85183038499,560.899492129267,1207.831403380855,6
2035,SSP1,FSU,293642.46440391225,3490.364347363603,2922.8673717413376,7
2035,SSP1,MDE,396373.18349873374,4949.92399296436,3341.9923523461357,8
2035,SSP1,CAM,203703.74766385872,298.1109464950708,2349.5804777981652,9
2035,SSP1,LAM,466355.71611909673,706.5071438692033,1506.4593562459904,10
2035,SSP1,SAS,2.0481447930011319e6,2612.248122052205,6217.789258343858,11
2035,SSP1,SEA,755350.5584383829,1700.969804070039,2934.2653690830302,12
2035,SSP1,CHI,1.408233824853823e6,616.1210631470947,1331.168062260226,13
2035,SSP1,MAF,229763.08199697896,205.0817549907952,1387.947865455457,14
2035,SSP1,SSA,1.3544475031576888e6,4324.266303786152,6706.642371541604,15
2035,SSP1,SIS,45999.33678722973,120.51557120692009,730.9719560502543,16
2040,SSP1,USA,362508.52415297885,5802.850106838049,1021.752668393779,1
