scen,period,fundregion,age,pop,inmig,inmig_sum,share,index
SSP5,2090,JPK,75,8101.307034203663,0,1464.4559884437251,0,4
SSP5,2090,JPK,80,8185.010776257962,0,1464.4559884437251,0,4
SSP5,2090,JPK,85,8312.029785017126,0,1464.4559884437251,0,4
SSP5,2090,JPK,90,8761.35558856424,0,1464.4559884437251,0,4
SSP5,2090,JPK,95,8217.577640956355,0,1464.4559884437251,0,4
SSP5,2090,JPK,100,6417.426327712352,0,1464.4559884437251,0,4
SSP5,2090,JPK,105,3674.173746133559,0,1464.4559884437251,0,4
SSP5,2090,JPK,110,775.3269549886884,0,1464.4559884437251,0,4
SSP5,2090,JPK,115,36.98064981517243,0,1464.4559884437251,0,4
SSP5,2090,JPK,120,0.7573590370217608,0,1464.4559884437251,0,4
SSP5,2090,ANZ,0,4418.2061335655635,207.9929275061339,2399.8003117576127,0.08667093111334749,5
SSP5,2090,ANZ,5,4332.736341345412,126.19001392156807,2399.8003117576127,0.05258354759906942,5
SSP5,2090,ANZ,10,4211.378910441437,78.93986624171683,2399.8003117576127,0.03289434785676034,5
SSP5,2090,ANZ,15,4080.620542183876,220.02234498488332,2399.8003117576127,0.09168360546788122,5
SSP5,2090,ANZ,20,4021.5499627241315,511.8557403584906,2399.8003117576127,0.21329097169072692,5
SSP5,2090,ANZ,25,4087.8905535562044,460.8648863024094,2399.8003117576127,0.1920430145976905,5
SSP5,2090,ANZ,30,4134.263681826404,308.0930165613766,2399.8003117576127,0.128382772121456,5
SSP5,2090,ANZ,35,4105.061431097653,190.82638343552904,2399.8003117576127,0.07951760923631512,5
SSP5,2090,ANZ,40,4016.5666518806,116.28437184487717,2399.8003117576127,0.04845585329543963,5
SSP5,2090,ANZ,45,3899.7679342780852,70.60263424562169,2399.8003117576127,0.029420212131697054,5
SSP5,2090,ANZ,50,3784.2508921334447,42.8320291320166,2399.8003117576127,0.017848163833534318,5
SSP5,2090,ANZ,55,3691.6453707745445,25.979712525762388,2399.8003117576127,0.010825780961222919,5
SSP5,2090,ANZ,60,3602.130815639566,15.756926545383786,2399.8003117576127,0.006565932368699219,5
SSP5,2090,ANZ,65,3475.5910681294104,9.555669630677517,2399.8003117576127,0.003981860317235708,5
SSP5,2090,ANZ,70,3284.766333553165,14.003788521166081,2399.8003117576127,0.005835397408924292,5
SSP5,2090,ANZ,75,3060.7601111692943,0,2399.8003117576127,0,5
SSP5,2090,ANZ,80,2952.8309398177958,0,2399.8003117576127,0,5
SSP5,2090,ANZ,85,2744.296808294933,0,2399.8003117576127,0,5
SSP5,2090,ANZ,90,2698.9934364190385,0,2399.8003117576127,0,5
SSP5,2090,ANZ,95,2585.9421850116364,0,2399.8003117576127,0,5
SSP5,2090,ANZ,100,1829.2090503771108,0,2399.8003117576127,0,5
SSP5,2090,ANZ,105,551.541866733876,0,2399.8003117576127,0,5
SSP5,2090,ANZ,110,33.10587919818303,0,2399.8003117576127,0,5
SSP5,2090,ANZ,115,0.519200287461161,0,2399.8003117576127,0,5
SSP5,2090,ANZ,120,0.007332886158760404,0,2399.8003117576127,0,5
SSP5,2090,EEU,0,4546.353579266005,116.43893535073038,1343.4554339966996,0.08667123032457541,6
SSP5,2090,EEU,5,4537.036200472134,70.64351117715843,1343.4554339966996,0.052583442211401245,6
SSP5,2090,EEU,10,4487.164442519598,44.19195406401471,1343.4554339966996,0.032894246393083755,6
SSP5,2090,EEU,15,4425.136510893308,123.17237716935615,1343.4554339966996,0.09168326246813092,6
SSP5,2090,EEU,20,4387.539176339527,286.54668862522374,1343.4554339966996,0.21329080323324492,6
SSP5,2090,EEU,25,4395.560589356683,258.0031755629966,1343.4554339966996,0.19204446164280461,6
SSP5,2090,EEU,30,4458.853881680108,172.47606996357698,1343.4554339966996,0.12838242758114496,6
SSP5,2090,EEU,35,4496.74571895758,106.82799879710821,1343.4554339966996,0.07951733722889585,6
SSP5,2090,EEU,40,4460.978280555785,65.09805127564368,1343.4554339966996,0.048455683477330445,6
SSP5,2090,EEU,45,4366.09713112138,39.52460390784587,1343.4554339966996,0.029420107960159526,6
SSP5,2090,EEU,50,4261.596687063341,23.978127523446933,1343.4554339966996,0.01784810044060296,6
SSP5,2090,EEU,55,4277.49113844385,14.543903120537415,1343.4554339966996,0.010825742895892105,6
SSP5,2090,EEU,60,4482.312135231815,8.821010303087796,1343.4554339966996,0.006565912109824006,6
SSP5,2090,EEU,65,4708.151121295374,5.3494400901788595,1343.4554339966996,0.0039818515410404015,6
SSP5,2090,EEU,70,4785.83743754983,7.839587065793716,1343.4554339966996,0.005835390491868727,6
SSP5,2090,EEU,75,4450.119539197569,0,1343.4554339966996,0,6
SSP5,2090,EEU,80,4552.864498977616,0,1343.4554339966996,0,6
